# ZDC LUT for HI running 2023, commissioning implementation
# Scaling factor of 1 used for double -> int conversion
#<header> V1 13 32 </header>

0 1 # Scaling Factor
315 0 # [index ibit=58], [index idet=1]
316 0 # [index ibit=59], [index idet=1]
317 0 # [index ibit=60], [index idet=1]
318 0 # [index ibit=61], [index idet=1]
319 0 # [index ibit=62], [index idet=1]
320 0 # [index ibit=63], [index idet=1]
321 0 # [index ibit=64], [index idet=1]
322 0 # [index ibit=65], [index idet=1]
323 0 # [index ibit=66], [index idet=1]
324 0 # [index ibit=67], [index idet=1]
325 0 # [index ibit=68], [index idet=1]
326 0 # [index ibit=69], [index idet=1]
327 0 # [index ibit=70], [index idet=1]
328 0 # [index ibit=71], [index idet=1]
329 0 # [index ibit=72], [index idet=1]
330 0 # [index ibit=73], [index idet=1]
331 0 # [index ibit=74], [index idet=1]
332 0 # [index ibit=75], [index idet=1]
333 0 # [index ibit=76], [index idet=1]
334 0 # [index ibit=77], [index idet=1]
335 0 # [index ibit=78], [index idet=1]
336 0 # [index ibit=79], [index idet=1]
337 0 # [index ibit=80], [index idet=1]
338 0 # [index ibit=81], [index idet=1]
339 0 # [index ibit=82], [index idet=1]
340 1 # [index ibit=83], [index idet=1]
341 1 # [index ibit=84], [index idet=1]
342 1 # [index ibit=85], [index idet=1]
343 1 # [index ibit=86], [index idet=1]
344 1 # [index ibit=87], [index idet=1]
345 1 # [index ibit=88], [index idet=1]
346 1 # [index ibit=89], [index idet=1]
347 1 # [index ibit=90], [index idet=1]
348 1 # [index ibit=91], [index idet=1]
349 1 # [index ibit=92], [index idet=1]
350 1 # [index ibit=93], [index idet=1]
351 1 # [index ibit=94], [index idet=1]
352 1 # [index ibit=95], [index idet=1]
353 1 # [index ibit=96], [index idet=1]
354 1 # [index ibit=97], [index idet=1]
355 1 # [index ibit=98], [index idet=1]
356 1 # [index ibit=99], [index idet=1]
357 1 # [index ibit=100], [index idet=1]
358 2 # [index ibit=101], [index idet=1]
359 2 # [index ibit=102], [index idet=1]
360 2 # [index ibit=103], [index idet=1]
361 2 # [index ibit=104], [index idet=1]
362 2 # [index ibit=105], [index idet=1]
363 2 # [index ibit=106], [index idet=1]
364 2 # [index ibit=107], [index idet=1]
365 2 # [index ibit=108], [index idet=1]
366 2 # [index ibit=109], [index idet=1]
367 2 # [index ibit=110], [index idet=1]
368 3 # [index ibit=111], [index idet=1]
369 3 # [index ibit=112], [index idet=1]
370 3 # [index ibit=113], [index idet=1]
371 3 # [index ibit=114], [index idet=1]
372 3 # [index ibit=115], [index idet=1]
373 3 # [index ibit=116], [index idet=1]
374 3 # [index ibit=117], [index idet=1]
375 3 # [index ibit=118], [index idet=1]
376 3 # [index ibit=119], [index idet=1]
377 4 # [index ibit=120], [index idet=1]
378 4 # [index ibit=121], [index idet=1]
379 4 # [index ibit=122], [index idet=1]
380 4 # [index ibit=123], [index idet=1]
381 4 # [index ibit=124], [index idet=1]
382 5 # [index ibit=125], [index idet=1]
383 5 # [index ibit=126], [index idet=1]
384 5 # [index ibit=127], [index idet=1]
385 4 # [index ibit=128], [index idet=1]
386 5 # [index ibit=129], [index idet=1]
387 5 # [index ibit=130], [index idet=1]
388 5 # [index ibit=131], [index idet=1]
389 5 # [index ibit=132], [index idet=1]
390 5 # [index ibit=133], [index idet=1]
391 6 # [index ibit=134], [index idet=1]
392 6 # [index ibit=135], [index idet=1]
393 6 # [index ibit=136], [index idet=1]
394 6 # [index ibit=137], [index idet=1]
395 6 # [index ibit=138], [index idet=1]
396 7 # [index ibit=139], [index idet=1]
397 7 # [index ibit=140], [index idet=1]
398 7 # [index ibit=141], [index idet=1]
399 7 # [index ibit=142], [index idet=1]
400 8 # [index ibit=143], [index idet=1]
401 8 # [index ibit=144], [index idet=1]
402 8 # [index ibit=145], [index idet=1]
403 9 # [index ibit=146], [index idet=1]
404 9 # [index ibit=147], [index idet=1]
405 9 # [index ibit=148], [index idet=1]
406 10 # [index ibit=149], [index idet=1]
407 10 # [index ibit=150], [index idet=1]
408 11 # [index ibit=151], [index idet=1]
409 11 # [index ibit=152], [index idet=1]
410 12 # [index ibit=153], [index idet=1]
411 12 # [index ibit=154], [index idet=1]
412 12 # [index ibit=155], [index idet=1]
413 13 # [index ibit=156], [index idet=1]
414 13 # [index ibit=157], [index idet=1]
415 14 # [index ibit=158], [index idet=1]
416 14 # [index ibit=159], [index idet=1]
417 14 # [index ibit=160], [index idet=1]
418 15 # [index ibit=161], [index idet=1]
419 15 # [index ibit=162], [index idet=1]
420 16 # [index ibit=163], [index idet=1]
421 16 # [index ibit=164], [index idet=1]
422 17 # [index ibit=165], [index idet=1]
423 18 # [index ibit=166], [index idet=1]
424 19 # [index ibit=167], [index idet=1]
425 20 # [index ibit=168], [index idet=1]
426 20 # [index ibit=169], [index idet=1]
427 21 # [index ibit=170], [index idet=1]
428 22 # [index ibit=171], [index idet=1]
429 23 # [index ibit=172], [index idet=1]
430 24 # [index ibit=173], [index idet=1]
431 25 # [index ibit=174], [index idet=1]
432 25 # [index ibit=175], [index idet=1]
433 26 # [index ibit=176], [index idet=1]
434 27 # [index ibit=177], [index idet=1]
435 28 # [index ibit=178], [index idet=1]
436 29 # [index ibit=179], [index idet=1]
437 30 # [index ibit=180], [index idet=1]
438 30 # [index ibit=181], [index idet=1]
439 31 # [index ibit=182], [index idet=1]
440 32 # [index ibit=183], [index idet=1]
441 33 # [index ibit=184], [index idet=1]
442 34 # [index ibit=185], [index idet=1]
443 36 # [index ibit=186], [index idet=1]
444 37 # [index ibit=187], [index idet=1]
445 39 # [index ibit=188], [index idet=1]
446 41 # [index ibit=189], [index idet=1]
447 42 # [index ibit=190], [index idet=1]
448 44 # [index ibit=191], [index idet=1]
449 41 # [index ibit=192], [index idet=1]
450 42 # [index ibit=193], [index idet=1]
451 44 # [index ibit=194], [index idet=1]
452 46 # [index ibit=195], [index idet=1]
453 47 # [index ibit=196], [index idet=1]
454 49 # [index ibit=197], [index idet=1]
455 51 # [index ibit=198], [index idet=1]
456 52 # [index ibit=199], [index idet=1]
457 54 # [index ibit=200], [index idet=1]
458 55 # [index ibit=201], [index idet=1]
459 57 # [index ibit=202], [index idet=1]
460 59 # [index ibit=203], [index idet=1]
461 60 # [index ibit=204], [index idet=1]
462 62 # [index ibit=205], [index idet=1]
463 64 # [index ibit=206], [index idet=1]
464 65 # [index ibit=207], [index idet=1]
465 68 # [index ibit=208], [index idet=1]
466 71 # [index ibit=209], [index idet=1]
467 74 # [index ibit=210], [index idet=1]
468 77 # [index ibit=211], [index idet=1]
469 81 # [index ibit=212], [index idet=1]
470 84 # [index ibit=213], [index idet=1]
471 87 # [index ibit=214], [index idet=1]
472 90 # [index ibit=215], [index idet=1]
473 94 # [index ibit=216], [index idet=1]
474 97 # [index ibit=217], [index idet=1]
